"Title";"ISSN";"Database Name";"Database Producer";"Citation Begin Year";"Citation Begin Volume";"Citation Begin Issue";"Citation Most Recent Year";"Citation Most Recent Volume";"Citation Most Recent Issue";"Fulltext Begin Year";"Fulltext Begin Volume";"Fulltext Begin Issue";"Fulltext Most Recent Year";"Fulltext Most Recent Volume";"Fulltext Most Recent Issue";"Total Number of Issues";"Total Number of Fulltext Issues"
"'Atiqot";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1964";"4";"0";"1988";"18";"0";"0";"0";"0";"0";"0";"0";"16";"0"
"'Atiqot Hebrew Series";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1966";"3";"0";"1966";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"`Ethnologie francaise";"0046-2616";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1971";"1";"3-4";"2008";"38";"3";"0";"0";"0";"0";"0";"0";"101";"0"
"`L'Autre: cliniques, cultures et societes";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"2004";"5";"3";"2004";"5";"3";"0";"0";"0";"0";"0";"0";"1";"0"
"Aarboger for nordisk Oldkyndighed og historie";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1961";"0";"0";"1981";"0";"0";"0";"0";"0";"0";"0";"0";"21";"0"
"Aastaramat: Eesti Rahva Museumi aastaraamat";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1983";"33";"0";"1992";"39";"0";"0";"0";"0";"0";"0";"0";"6";"0"
"Abhandlungen und Berichte des Staatlichen Museums fur Volkerkunde";"0070-7295";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"21";"0";"2005";"52";"0";"0";"0";"0";"0";"0";"0";"32";"0"
"Abhandlungen und Berichte des Staatlichen Museums fur Volkerkunde";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1983";"40";"0";"1994";"48";"291-334";"0";"0";"0";"0";"0";"0";"12";"0"
"Abhandlungen und Berichte des Staatlichen Museums fur Volkerkunde. Dresden";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"22";"0";"1982";"39";"0";"0";"0";"0";"0";"0";"0";"17";"0"
"Aboriginal history";"0311-8769";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1998";"22";"0";"2003";"27";"0";"0";"0";"0";"0";"0";"0";"6";"0"
"Aboriginal history";"0314-8769";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1976";"2";"1";"2008";"32";"0";"0";"0";"0";"0";"0";"0";"50";"0"
"Aboriginal history";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1977";"1";"1";"1995";"19";"1/2";"0";"0";"0";"0";"0";"0";"27";"0"
"Academica: revista da Academia de Ciencias Sociais do Ceara";"1676-3769";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"2000";"3-5";"0";"2000";"3-5";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Acta Americana";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"4";"2";"1997";"5";"1";"0";"0";"0";"0";"0";"0";"2";"0"
"Acta americana";"1104-4446";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1995";"3";"2";"2008";"16";"1";"0";"0";"0";"0";"0";"0";"21";"0"
"Acta anthropologica sinica";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1994";"13";"2";"1997";"16";"4";"0";"0";"0";"0";"0";"0";"10";"0"
"Acta anthropologica sinica";"1000-3193";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1982";"1";"1";"2004";"23";"2";"0";"0";"0";"0";"0";"0";"54";"0"
"Acta anthropologica sinica";"1000-3139";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"2000";"19";"4";"2008";"27";"2";"0";"0";"0";"0";"0";"0";"15";"0"
"Acta archaeologica";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"2";"0";"1996";"48";"1/3";"0";"0";"0";"0";"0";"0";"13";"0"
"Acta archaeologica (Budapest)";"0001-5210";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1951";"1";"0";"2008";"59";"2";"0";"0";"0";"0";"0";"0";"65";"0"
"Acta archaeologica (Budapest)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1992";"44";"1";"1994";"46";"1/4";"0";"0";"0";"0";"0";"0";"3";"0"
"Acta archaeologica Budapest";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"15";"1/4";"1991";"43";"1/2";"0";"0";"0";"0";"0";"0";"44";"0"
"Acta archaeologica Copenhagen";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"33";"1";"1981";"52";"0";"0";"0";"0";"0";"0";"0";"22";"0"
"Acta baltico-slavica";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1964";"1";"0";"1994";"22";"0";"0";"0";"0";"0";"0";"0";"13";"0"
"Acta borealia";"0800-3831";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1989";"6";"1";"2002";"19";"2";"0";"0";"0";"0";"0";"0";"25";"0"
"Acta ethnographica";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1970";"19";"1/4";"1970";"19";"1/4";"0";"0";"0";"0";"0";"0";"1";"0"
"Acta ethnographica Budapest";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"11";"3/4";"1986";"34";"1/4";"0";"0";"0";"0";"0";"0";"40";"0"
"Acta ethnographica Hungarica";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1993";"38";"1/3";"1997";"42";"3/4";"0";"0";"0";"0";"0";"0";"5";"0"
"Acta ethnographica Hungarica";"1216-9803";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1991";"37";"1-4";"2008";"53";"1";"0";"0";"0";"0";"0";"0";"34";"0"
"Acta Facultatis Rerum Naturalium Universitatis Comenianae Anthrop";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"7";"0";"1983";"28/29";"0";"0";"0";"0";"0";"0";"0";"18";"0"
"Acta Facultatis Rerum Naturalium Universitatis Comenianae: anthropologia";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"5";"0";"1984";"32/3";"0";"0";"0";"0";"0";"0";"0";"9";"0"
"Acta geneticae medicae et gemellologiae";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"11";"4";"1992";"41";"4";"0";"0";"0";"0";"0";"0";"81";"0"
"Acta Musei Moraviae";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1974";"59";"0";"1974";"59";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Acta Musei Moraviae: scientiae naturales";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"48";"0";"1986";"71";"0";"0";"0";"0";"0";"0";"0";"7";"0"
"Acta Musei Moraviae: scientiae sociales";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"47";"0";"1992";"77";"1/2";"0";"0";"0";"0";"0";"0";"31";"0"
"Acta Musei Moraviae: scientiae sociales";"0323-0570";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1998";"83";"1-2";"2007";"92";"1-2";"0";"0";"0";"0";"0";"0";"10";"0"
"Acta praehistorica et archaeologica";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1970";"1";"0";"1992";"24";"0";"0";"0";"0";"0";"0";"0";"19";"0"
"Acta Universitatis Carolinae - philosophica et historica. Studia ethnographica";"0567-8293";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1997";"3";"0";"2005";"13";"0";"0";"0";"0";"0";"0";"0";"18";"0"
"Actualidad antropologica";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1971";"8";"0";"1971";"8";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Actualidades arqueologicas";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1998";"4";"19/20";"2001";"5";"26";"0";"0";"0";"0";"0";"0";"7";"0"
"Ad Quintum: bollettino del archeologia del nord-ovest";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1976";"4";"0";"1984";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"Adibasi Bhubaneswar";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"1";"0";"1973";"15";"1/4";"0";"0";"0";"0";"0";"0";"14";"0"
"Advances in archaeological method and theory";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1978";"0";"0";"1987";"11";"0";"0";"0";"0";"0";"0";"0";"11";"0"
"Advances in world archaeology";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1982";"0";"0";"1986";"5";"0";"0";"0";"0";"0";"0";"0";"10";"0"
"Aequatoria";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"25";"3";"1962";"25";"4";"0";"0";"0";"0";"0";"0";"2";"0"
"Africa";"0001-9720";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1928";"1";"0";"2009";"79";"2";"0";"0";"0";"0";"0";"0";"172";"0"
"Africa";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"33";"1";"2004";"74";"3";"0";"0";"0";"0";"0";"0";"118";"0"
"Africa-Tervuren";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1971";"17";"1";"1990";"32";"1/4";"0";"0";"0";"0";"0";"0";"44";"0"
"African affairs";"0001-9909";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1990";"89";"354";"2009";"108";"432";"0";"0";"0";"0";"0";"0";"54";"0"
"African affairs";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"62";"247";"2004";"104";"414";"0";"0";"0";"0";"0";"0";"81";"0"
"African and Asian studies";"1569-2094";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"2002";"1";"1";"2006";"5";"3-4";"0";"0";"0";"0";"0";"0";"17";"0"
"African anthropology";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1995";"2";"2";"1997";"4";"2";"0";"0";"0";"0";"0";"0";"4";"0"
"African anthropology";"1024-0969";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1995";"2";"1";"2005";"12";"2";"0";"0";"0";"0";"0";"0";"21";"0"
"African archaeological review";"0263-0338";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1983";"1";"0";"2008";"25";"3-4";"0";"0";"0";"0";"0";"0";"57";"0"
"African archaeological review";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1983";"0";"0";"2004";"21";"4";"0";"0";"0";"0";"0";"0";"19";"0"
"African arts";"0001-9933";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1967";"1";"1";"2009";"42";"1";"0";"0";"0";"0";"0";"0";"120";"0"
"African arts";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1967";"1";"1";"1999";"32";"2";"0";"0";"0";"0";"0";"0";"99";"0"
"African issues";"0047-1607";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1995";"23";"1";"2003";"31-32";"1-2";"0";"0";"0";"0";"0";"0";"10";"0"
"African languages and cultures";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1988";"0";"0";"1997";"10";"2";"0";"0";"0";"0";"0";"0";"16";"0"
"African languages and cultures";"0954-416X";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"9";"1";"1996";"9";"1";"0";"0";"0";"0";"0";"0";"1";"0"
