"Title";"ISSN";"Database Name";"Database Producer";"Citation Begin Year";"Citation Begin Volume";"Citation Begin Issue";"Citation Most Recent Year";"Citation Most Recent Volume";"Citation Most Recent Issue";"Fulltext Begin Year";"Fulltext Begin Volume";"Fulltext Begin Issue";"Fulltext Most Recent Year";"Fulltext Most Recent Volume";"Fulltext Most Recent Issue";"Total Number of Issues";"Total Number of Fulltext Issues"
"A &amp; C international";"";"AveryIndex";"University of California";"1995";"0";"1";"1996";"0";"5";"0";"0";"0";"0";"0";"0";"5";"0"
"A &amp; U";"";"AveryIndex";"University of California";"1973";"3";"6";"1975";"5";"3";"0";"0";"0";"0";"0";"0";"5";"0"
"A &amp; U : architecture and urbanism";"";"AveryIndex";"University of California";"1971";"0";"8";"1978";"0";"99";"0";"0";"0";"0";"0";"0";"54";"0"
"A &amp; V";"";"AveryIndex";"University of California";"1987";"0";"9";"1990";"0";"24";"0";"0";"0";"0";"0";"0";"15";"0"
"A + t";"1132-6409";"AveryIndex";"University of California";"1994";"0";"3";"2007";"0";"30";"0";"0";"0";"0";"0";"0";"27";"0"
"A + U: Architecture + Urbanism";"";"AveryIndex";"University of California";"1982";"0";"2137";"1982";"0";"2137";"0";"0";"0";"0";"0";"0";"1";"0"
"A + U: architecture and urbanism";"";"AveryIndex";"University of California";"1980";"0";"6117";"1998";"0";"5332";"0";"0";"0";"0";"0";"0";"8";"0"
"A + U: architecture and urbanism";"0001-0316";"AveryIndex";"University of California";"1974";"0";"0";"2002";"0";"8383";"0";"0";"0";"0";"0";"0";"258";"0"
"A 10: new European architecture";"1573-3815";"AveryIndex";"University of California";"2004";"0";"1";"2009";"0";"26";"0";"0";"0";"0";"0";"0";"25";"0"
"A/R/C, architecture, research, criticism";"1180-0933";"AveryIndex";"University of California";"1990";"1";"2";"1994";"1";"5";"0";"0";"0";"0";"0";"0";"3";"0"
"AA files";"0261-6823";"AveryIndex";"University of California";"1981";"1";"1";"2007";"0";"56";"0";"0";"0";"0";"0";"0";"55";"0"
"AA files";"0261-0823";"AveryIndex";"University of California";"1993";"0";"26";"1993";"0";"26";"0";"0";"0";"0";"0";"0";"1";"0"
"Aachener Kunstbla?tter";"";"AveryIndex";"University of California";"1976";"47";"0";"1985";"53";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"AAQ : Architectural Association quarterly";"0001-0189";"AveryIndex";"University of California";"1975";"7";"4";"1982";"13";"4";"0";"0";"0";"0";"0";"0";"20";"0"
"AAQ : Architectural Association quarterly";"";"AveryIndex";"University of California";"1968";"1";"1";"1978";"10";"3";"0";"0";"0";"0";"0";"0";"38";"0"
"AAQ: Architectural Association quarterly";"";"AveryIndex";"University of California";"1970";"3";"0";"1978";"10";"1";"0";"0";"0";"0";"0";"0";"7";"0"
"AARP : art and archaeology research papers";"0308-5597";"AveryIndex";"University of California";"1976";"0";"10";"1979";"15";"0";"0";"0";"0";"0";"0";"0";"8";"0"
"AARP : art and archaeology research papers";"";"AveryIndex";"University of California";"1972";"0";"1";"1978";"0";"14";"0";"0";"0";"0";"0";"0";"14";"0"
