"Title";"ISSN";"Database Name";"Database Producer";"Citation Begin Year";"Citation Begin Volume";"Citation Begin Issue";"Citation Most Recent Year";"Citation Most Recent Volume";"Citation Most Recent Issue";"Fulltext Begin Year";"Fulltext Begin Volume";"Fulltext Begin Issue";"Fulltext Most Recent Year";"Fulltext Most Recent Volume";"Fulltext Most Recent Issue";"Total Number of Issues";"Total Number of Fulltext Issues"
"+ U";"0389-9160";"Art Index";"H. W. Wilson Company";"1986";"0";"184";"2009";"0";"464";"0";"0";"0";"0";"0";"0";"390";"0"
"Abitare";"0001-3218";"Art Index";"H. W. Wilson Company";"1984";"0";"227";"2009";"0";"493";"0";"0";"0";"0";"0";"0";"407";"0"
"African Arts";"0001-9933";"Art Index";"H. W. Wilson Company";"1984";"0";"229";"2009";"42";"2";"0";"0";"0";"0";"0";"0";"124";"0"
"Afterimage";"0300-7472";"Art Index";"H. W. Wilson Company";"1984";"0";"228";"2009";"36";"6";"0";"0";"0";"0";"0";"0";"194";"0"
"AIGA Journal of Graphic Design";"0736-5322";"Art Index";"H. W. Wilson Company";"1998";"16";"1";"2000";"18";"2";"0";"0";"0";"0";"0";"0";"8";"0"
"American Antiquity";"0002-7316";"Art Index";"H. W. Wilson Company";"1986";"0";"190";"2009";"74";"2";"0";"0";"0";"0";"0";"0";"106";"0"
"American Art";"1073-9300";"Art Index";"H. W. Wilson Company";"1993";"7";"0";"2009";"23";"1";"0";"0";"0";"0";"0";"0";"53";"0"
"American Art Journal";"0002-7359";"Art Index";"H. W. Wilson Company";"1984";"9";"0";"2002";"33";"1/2";"0";"0";"0";"0";"0";"0";"78";"0"
"American Art Review";"0092-1327";"Art Index";"H. W. Wilson Company";"1998";"10";"0";"2009";"21";"3";"0";"0";"0";"0";"0";"0";"91";"0"
"American Artist";"0002-7375";"Art Index";"H. W. Wilson Company";"1984";"10";"0";"2009";"73";"0";"0";"0";"0";"0";"0";"0";"193";"0"
"American Ceramics";"0278-9507";"Art Index";"H. W. Wilson Company";"1986";"4";"4";"2007";"15";"2";"0";"0";"0";"0";"0";"0";"88";"0"
"American Cinematographer";"0002-7928";"Art Index";"H. W. Wilson Company";"1982";"63";"0";"2009";"90";"7";"0";"0";"0";"0";"0";"0";"244";"0"
"American Craft";"0194-8008";"Art Index";"H. W. Wilson Company";"1985";"0";"240";"2009";"69";"3";"0";"0";"0";"0";"0";"0";"145";"0"
"American Fabrics and Fashions Magazine";"0748-3228";"Art Index";"H. W. Wilson Company";"1984";"0";"130";"1986";"67";"0";"0";"0";"0";"0";"0";"0";"12";"0"
"American Film";"0361-4751";"Art Index";"H. W. Wilson Company";"1984";"9";"0";"1992";"96";"0";"0";"0";"0";"0";"0";"0";"58";"0"
"American Furniture";"1069-4188";"Art Index";"H. W. Wilson Company";"1998";" ";" ";"2007";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0"
"American Indian Art Magazine";"0192-9968";"Art Index";"H. W. Wilson Company";"1984";"0";"96";"2009";"34";"3";"0";"0";"0";"0";"0";"0";"130";"0"
"American Journal of Archaeology";"0002-9114";"Art Index";"H. W. Wilson Company";"1984";"88";"0";"2009";"113";"2";"0";"0";"0";"0";"0";"0";"110";"0"
"American Photo";"1046-8986";"Art Index";"H. W. Wilson Company";"1990";"1";"0";"2009";"20";"4";"0";"0";"0";"0";"0";"0";"117";"0"
"American Photographer";"0161-6854";"Art Index";"H. W. Wilson Company";"1986";"11";"0";"1994";"5";"0";"0";"0";"0";"0";"0";"0";"30";"0"
"American Visions";"0884-9390";"Art Index";"H. W. Wilson Company";"1993";"8";"0";"2000";"152";"462";"0";"0";"0";"0";"0";"0";"34";"0"
"Analytical Chemistry";"0003-2700";"Art Index";"H. W. Wilson Company";"1997";"69";"0";"2009";"81";"9";"0";"0";"0";"0";"0";"0";"22";"0"
"Ancient Civilizations from Scythia to Siberia";"0929-077X";"Art Index";"H. W. Wilson Company";"2003";"0";"25";"2008";"14";"3/4";"0";"0";"0";"0";"0";"0";"13";"0"
"Animation Magazine";"1041-617X";"Art Index";"H. W. Wilson Company";"1994";"7";"0";"2009";"23";"5";"0";"0";"0";"0";"0";"0";"175";"0"
"Annuario della Scuola Archeologica di Atene e delle Missioni Italiane in Oriente";"0067-0081";"Art Index";"H. W. Wilson Company";"1979";"57-58";"0";"1986";"90";"0";"0";"0";"0";"0";"0";"0";"9";"0"
"Antike Kunst";"0003-5688";"Art Index";"H. W. Wilson Company";"1978";"21/25";"0";"2008";"51";"0";"0";"0";"0";"0";"0";"0";"67";"0"
"Antike Welt";"0003-570X";"Art Index";"H. W. Wilson Company";"1984";"15";"2";"2009";"40";"3";"0";"0";"0";"0";"0";"0";"197";"0"
"Antiquity";"0003-598X";"Art Index";"H. W. Wilson Company";"1983";"57";"0";"2009";"83";"0";"0";"0";"0";"0";"0";"0";"70";"0"
"Aperture";"0003-6420";"Art Index";"H. W. Wilson Company";"1984";"0";"95";"2009";"0";"195";"0";"0";"0";"0";"0";"0";"147";"0"
"Apollo (London, England)";"0003-6536";"Art Index";"H. W. Wilson Company";"0";"0";"0";"2044";"0";"0";"0";"0";"0";"0";"0";"0";"202";"0"
"Applied Arts";"1196-1775";"Art Index";"H. W. Wilson Company";"1998";"13";"2";"2009";"24";"3";"0";"0";"0";"0";"0";"0";"89";"0"
"Arch?aologischer Anzeiger";"0003-8105";"Art Index";"H. W. Wilson Company";"1979";"0";"3";"2008";"0";"1";"0";"0";"0";"0";"0";"0";"149";"0"
"Archaeologia";"0261-3409";"Art Index";"H. W. Wilson Company";"1986";"108";"0";"1992";"110";"0";"0";"0";"0";"0";"0";"0";"5";"0"
"Archaeology";"0003-8113";"Art Index";"H. W. Wilson Company";"0";"0";"0";"2009";"62";"4";"0";"0";"0";"0";"0";"0";"130";"0"
"Archaeology Odyssey";"1096-9640";"Art Index";"H. W. Wilson Company";"2003";"0";"0";"2006";"9";"1";"0";"0";"0";"0";"0";"0";"30";"0"
"Archaeology, Ethnology & Anthropology of Eurasia";"1563-0110";"Art Index";"H. W. Wilson Company";"2006";"25";"1";"2007";"32";"4";"0";"0";"0";"0";"0";"0";"8";"0"
"Architect (New York, N.Y.)";"0950-8902";"Art Index";"H. W. Wilson Company";"0";"0";"0";"1987";"94";"0";"0";"0";"0";"0";"0";"0";"11";"0"
"Architect (Washington, D.C.)";"";"Art Index";"H. W. Wilson Company";"2006";"0";"0";"2007";"96";"3";"0";"0";"0";"0";"0";"0";"5";"0"
"Architect (Washington, D.C.)";"1935-7001";"Art Index";"H. W. Wilson Company";"2006";"95";"11";"2009";"98";"5";"0";"0";"0";"0";"0";"0";"31";"0"
"Architects' Journal";"0003-8466";"Art Index";"H. W. Wilson Company";"1983";"177";"0";"2009";"229";"21";"0";"0";"0";"0";"0";"0";"631";"0"
"Architectura";"0044-863X";"Art Index";"H. W. Wilson Company";"1986";"16";"1";"2008";"38";"1";"0";"0";"0";"0";"0";"0";"71";"0"
"Architectural Design (London, England)";"0003-8504";"Art Index";"H. W. Wilson Company";"1963";" ";" ";"2009";"79";"3";"0";"0";"0";"0";"0";"0";"215";"0"
"Architectural Digest";"0003-8520";"Art Index";"H. W. Wilson Company";"1984";"41";"0";"2009";"66";"8";"0";"0";"0";"0";"0";"0";"239";"0"
"Architectural History";"0066-622X";"Art Index";"H. W. Wilson Company";"1984";"27";"0";"2008";"51";"0";"0";"0";"0";"0";"0";"0";"43";"0"
"Architectural Record";"0003-858X";"Art Index";"H. W. Wilson Company";"1983";"171";"0";"2009";"197";"7";"0";"0";"0";"0";"0";"0";"244";"0"
"Architectural Review";"0003-861X";"Art Index";"H. W. Wilson Company";"1984";"73";"0";"2009";"226";"0";"0";"0";"0";"0";"0";"0";"167";"0"
"Architecture";"0746-0554";"Art Index";"H. W. Wilson Company";"1984";"0";"218";"2006";"95";"10";"0";"0";"0";"0";"0";"0";"226";"0"
"Architektur. Aktuell";"0570-6602";"Art Index";"H. W. Wilson Company";"2007";"0";"328/329";"2009";"0";"349";"0";"0";"0";"0";"0";"0";"15";"0"
"Archithese";"1010-3600";"Art Index";"H. W. Wilson Company";"1984";"14";"0";"1984";"14";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Archive (Tucson, Ariz.)";"0735-5572";"Art Index";"H. W. Wilson Company";"1998";"33";"0";"1998";"33";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Archives of American Art Journal";"0003-9853";"Art Index";"H. W. Wilson Company";"1984";"24";"1";"2008";"47";"3/4";"0";"0";"0";"0";"0";"0";"122";"0"
"Archives of Asian Art";"0066-6637";"Art Index";"H. W. Wilson Company";"1984";"37";"0";"2008";"58";"0";"0";"0";"0";"0";"0";"0";"35";"0"
"Archivo Espanol de Arte";"0004-0428";"Art Index";"H. W. Wilson Company";"1981";"54";"0";"2009";"82";"0";"0";"0";"0";"0";"0";"0";"92";"0"
"ARQ";"1359-1355";"Art Index";"H. W. Wilson Company";"2002";"6";"3";"2008";"12";"3/4";"0";"0";"0";"0";"0";"0";"25";"0"
"ARQ (Santiago, Chile)";"0716-0852";"Art Index";"H. W. Wilson Company";"2005";"0";"61";"2009";"0";"71";"0";"0";"0";"0";"0";"0";"12";"0"
"Ars Orientalis";"0571-1371";"Art Index";"H. W. Wilson Company";"1984";"14";"0";"2005";"35";"0";"0";"0";"0";"0";"0";"0";"39";"0"
"Art & Antiques";"0195-8208";"Art Index";"H. W. Wilson Company";"1986";" ";" ";"2009";"32";"6";"0";"0";"0";"0";"0";"0";"238";"0"
"Art & Artists";"0004-3001";"Art Index";"H. W. Wilson Company";"1984";"0";"212";"1986";"75";"0";"0";"0";"0";"0";"0";"0";"48";"0"
"Art & Auction";"0197-1093";"Art Index";"H. W. Wilson Company";"1998";"20";"0";"2009";"32";"10";"0";"0";"0";"0";"0";"0";"170";"0"
"Art & Design";"0267-3991";"Art Index";"H. W. Wilson Company";"1994";"9";"0";"1997";"12";"5/6";"0";"0";"0";"0";"0";"0";"10";"0"
"Art and Australia";"0004-301X";"Art Index";"H. W. Wilson Company";"1994";"31";"0";"2009";"46";"4";"0";"0";"0";"0";"0";"0";"68";"0"
"Art and Christianity";"1746-6229";"Art Index";"H. W. Wilson Company";"1950";"0";"0";"2009";"0";"58";"0";"0";"0";"0";"0";"0";"27";"0"
"Art and Christianity Enquiry Bulletin";"1464-4363";"Art Index";"H. W. Wilson Company";"2002";"0";"29";"2003";"66";"3";"0";"0";"0";"0";"0";"0";"7";"0"
"Art Antiquity and Law";"1362-2331";"Art Index";"H. W. Wilson Company";"2003";"6";"5";"2008";"13";"4";"0";"0";"0";"0";"0";"0";"29";"0"
"Art AsiaPacific";"1039-3625";"Art Index";"H. W. Wilson Company";"2003";"0";"38";"2009";"0";"64";"0";"0";"0";"0";"0";"0";"28";"0"
"Art Book (London, England)";"1368-6267";"Art Index";"H. W. Wilson Company";"2003";"0";"205";"2009";"16";"2";"0";"0";"0";"0";"0";"0";"36";"0"
"Art Bulletin of Nationalmuseum Stockholm";"1401-2987";"Art Index";"H. W. Wilson Company";"1997";"4";"0";"2007";"14";"0";"0";"0";"0";"0";"0";"0";"15";"0"
"Art Business News";"0273-5652";"Art Index";"H. W. Wilson Company";"1999";"26";"3";"2007";"34";"1";"0";"0";"0";"0";"0";"0";"90";"0"
"Art Criticism";"0195-4148";"Art Index";"H. W. Wilson Company";"1997";"12";"2";"2009";"24";"1";"0";"0";"0";"0";"0";"0";"27";"0"
"Art Direction";"0004-3109";"Art Index";"H. W. Wilson Company";"1984";"0";"218";"1995";"47";"0";"0";"0";"0";"0";"0";"0";"79";"0"
"Art History";"0141-6790";"Art Index";"H. W. Wilson Company";"1986";"9";"0";"2009";"32";"2";"0";"0";"0";"0";"0";"0";"92";"0"
"Art in America";"0004-3214";"Art Index";"H. W. Wilson Company";"1984";"36";"0";"2009";"97";"6";"0";"0";"0";"0";"0";"0";"239";"0"
"Art International";"0004-3230";"Art Index";"H. W. Wilson Company";"1984";"27";"0";"1991";"50";"0";"0";"0";"0";"0";"0";"0";"26";"0"
"Art Issues";"1046-8471";"Art Index";"H. W. Wilson Company";"1998";"0";"51";"2001";"0";"70";"0";"0";"0";"0";"0";"0";"24";"0"
"Art Journal";"0004-3249";"Art Index";"H. W. Wilson Company";"1984";"0";"96";"2009";"68";"2";"0";"0";"0";"0";"0";"0";"121";"0"
"Art Libraries Journal";"0307-4722";"Art Index";"H. W. Wilson Company";"2008";"33";"4";"2009";"34";"1";"0";"0";"0";"0";"0";"0";"2";"0"
"Art Monthly";"0142-6702";"Art Index";"H. W. Wilson Company";"1993";"0";"172";"2009";"0";"327";"0";"0";"0";"0";"0";"0";"193";"0"
"Art New England";"0274-7073";"Art Index";"H. W. Wilson Company";"1993";"15";"0";"2009";"30";"3";"0";"0";"0";"0";"0";"0";"104";"0"
"Art News";"0004-3273";"Art Index";"H. W. Wilson Company";"1984";"23";"0";"2009";"108";"6";"0";"0";"0";"0";"0";"0";"210";"0"
"Art Newspaper";"0960-6556";"Art Index";"H. W. Wilson Company";"1993";"4";"0";"2009";"18";"0";"0";"0";"0";"0";"0";"0";"160";"0"
"Art Nexus";"0120-713X";"Art Index";"H. W. Wilson Company";"1994";"0";"11";"2001";"0";"41";"0";"0";"0";"0";"0";"0";"31";"0"
"Art Nexus";"0122-1744";"Art Index";"H. W. Wilson Company";"1994";"0";"11";"2009";"8";"73";"0";"0";"0";"0";"0";"0";"77";"0"
"Art On Paper";"1521-7922";"Art Index";"H. W. Wilson Company";"1998";"3";"1";"2009";"13";"5";"0";"0";"0";"0";"0";"0";"89";"0"
"Art Papers";"0278-1441";"Art Index";"H. W. Wilson Company";"1994";"18";"0";"2009";"33";"2";"0";"0";"0";"0";"0";"0";"93";"0"
"Art Press";"0245-5676";"Art Index";"H. W. Wilson Company";"1994";"0";"187";"2009";"0";"357";"0";"0";"0";"0";"0";"0";"205";"0"
"Art Review (London, England)";"1745-9303";"Art Index";"H. W. Wilson Company";"1997";"49";"0";"2009";"0";"33";"0";"0";"0";"0";"0";"0";"10";"0"
"Art Review (London, England)";"0004-4091";"Art Index";"H. W. Wilson Company";"1986";"0";"189";"2009";"0";"31";"0";"0";"0";"0";"0";"0";"165";"0"
